factor_a,factor_b,factor_c,factor_d,costo
0,0,0,0,0.0146377
0,0,0,0,0.0147689
0,0,0,0,0.014821
0,0,0,0,0.0144013
0,0,0,0,0.0152318
0,0,0,0,0.0148891
0,0,0,0,0.0151995
0,0,0,0,0.014979
0,0,0,0,0.0147169
0,0,0,0,0.0150041
0,0,0,0,0.0139957
0,0,0,0,0.0152337
0,0,0,0,0.0150232
0,0,0,0,0.0145968
0,0,0,0,0.0151842
0,0,0,0,0.0148277
0,0,0,0,0.0142785
0,0,0,0,0.0149054
0,0,0,0,0.0148355
0,0,0,0,0.0148141
0,0,0,0,0.015138
0,0,0,0,0.0151054
0,0,0,0,0.0145476
0,0,0,0,0.0149642
0,0,0,0,0.0148173
0,0,0,0,0.0154361
0,0,0,0,0.0153087
0,0,0,0,0.014647
0,0,0,0,0.0148238
0,0,0,0,0.0146437
0,0,0,1,0.0076285
0,0,0,1,0.0078346
0,0,0,1,0.0076969
0,0,0,1,0.0076573
0,0,0,1,0.0077949
0,0,0,1,0.0078031
0,0,0,1,0.0076108
0,0,0,1,0.0076662
0,0,0,1,0.0076323
0,0,0,1,0.0077767
0,0,0,1,0.0076805
0,0,0,1,0.0080378
0,0,0,1,0.0077313
0,0,0,1,0.007721
0,0,0,1,0.0076353
0,0,0,1,0.007591
0,0,0,1,0.0077503
0,0,0,1,0.0076551
0,0,0,1,0.0077722
0,0,0,1,0.0079637
0,0,0,1,0.0076596
0,0,0,1,0.0078434
0,0,0,1,0.0076809
0,0,0,1,0.0076811
0,0,0,1,0.0079066
0,0,0,1,0.0077367
0,0,0,1,0.0079834
0,0,0,1,0.0075046
0,0,0,1,0.0077429
0,0,0,1,0.0076326
0,0,1,0,0.0120158
0,0,1,0,0.0063173
0,0,1,0,0.0076975
0,0,1,0,0.0076953
0,0,1,0,0.0089725
0,0,1,0,0.0103545
0,0,1,0,0.0041579
0,0,1,0,0.0121725
0,0,1,0,0.0085125
0,0,1,0,0.0069257
0,0,1,0,0.0090287
0,0,1,0,0.0092171
0,0,1,0,0.0078943
0,0,1,0,0.0068723
