x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,Costo,Times
      1.3330734,      1.9946870,      2.9567326,      1.3829449,      2.0029688,      2.3854193,      1.0006912,      1.9998676,      2.9969555,     29.7006895,     15.0909578,     46.1608892,     46.0979804,     25.8835783,      0.4122781,     21.0125363,      0.0697265,      0.0037568,1200000.0000000
      1.5791657,      2.0197594,      2.4446940,      1.6538507,      1.9959244,      2.6008045,      1.3009508,      2.0533765,      2.5084468,     19.2662222,      1.8783439,     49.9197288,     23.5059122,     30.4842242,      0.3119862,      2.7285353,      0.2711175,      0.0035623,1200000.0000000
      1.3142993,      2.0325515,      2.8411133,      1.8861126,      1.9741133,      2.5030452,      1.1971475,      2.0392969,      2.5102210,     19.7890960,     20.6155352,     43.1028639,     27.5272861,     30.8260121,      0.0816038,     21.6404285,      1.0832509,      0.0042374,1200000.0000000
      1.7798179,      1.9577752,      2.9895846,      1.3329073,      1.9975817,      2.5375020,      1.0514501,      2.0120598,      2.6348304,      3.4959328,      5.4019307,     36.4726978,     44.4315790,      1.8364305,      0.6363546,      6.2921414,      1.5163034,      0.0040468,1200000.0000000
      1.1462306,      2.0080866,      2.9872515,      1.3938145,      1.9762609,      2.2393099,      1.0135978,      2.0140975,      2.9729843,     12.8544988,     15.3441098,     43.3340405,     26.6752108,      9.7133500,      0.0563532,     20.1722030,      0.0494769,      0.0038724,1200000.0000000
      2.1541806,      1.9899159,      2.9981981,      1.2850568,      1.9958385,      2.0948728,      1.0139667,      2.0573200,      2.8375018,      4.9443747,      0.7178676,     40.4258296,     37.8010693,      4.5888499,      0.0607439,      1.5682385,      0.4133258,      0.0041240,1200000.0000000
      1.5953847,      1.9606537,      2.9760666,      1.3206473,      1.9957271,      2.6185234,      1.0076824,      2.0032551,      2.9791156,      1.9443557,     17.9770112,     45.5944300,     30.7613727,      1.5430941,      0.4981546,     17.3787533,      1.4315448,      0.0036788,1200000.0000000
      1.7542997,      2.0055917,      2.7313844,      1.9273012,      1.9982321,      2.8046392,      1.3726680,      2.0293617,      2.5735903,      5.9894266,      3.2758588,     30.2217972,     36.9912388,     33.0333880,      0.7057344,      2.9648739,      3.6939852,      0.0035308,1200000.0000000
      1.1767874,      1.9972060,      2.9776712,      1.4773431,      1.9976319,      2.2824786,      1.0008535,      2.0137709,      2.6011986,      6.4185546,      2.9333231,     44.1229270,     42.0196444,      7.8514067,      0.5381494,      5.8048582,      1.1777988,      0.0032652,1200000.0000000
      1.0624538,      1.9798218,      2.9625394,      1.3546508,      1.9878767,      2.4053462,      1.0361760,      2.0091920,      2.6984534,      7.4002398,      6.0468467,     44.8576282,     29.8189135,      2.9309330,      0.2197050,      8.5237122,      3.0751871,      0.0041441,1200000.0000000
      1.7242945,      1.9884333,      2.9980285,      1.4186750,      2.0052326,      2.1635363,      1.0322117,      1.9944256,      2.6477910,     16.2446945,     15.1988290,     40.6539430,     30.5593524,     19.2558726,      0.8781985,     31.1892482,      0.0099440,      0.0036891,1200000.0000000
      2.0806893,      2.0035944,      2.9962964,      1.9515865,      1.9914012,      2.6378805,      1.0193229,      2.0304030,      2.9294876,      4.7681706,      6.5811691,     43.7972073,     47.6142203,     16.2718956,      0.1539555,      6.8292547,      0.0878479,      0.0041158,1200000.0000000
      1.9292001,      1.9911939,      2.9764137,      1.8270425,      2.0001731,      2.0316776,      1.0026925,      2.0032923,      2.7373221,      2.0994309,      7.0092082,     37.0025706,     34.8983648,      7.3550572,      1.7155596,     19.4523646,      0.0468414,      0.0038292,1200000.0000000
      1.0702233,      1.9587153,      2.9549750,      1.4071684,      1.9986633,      2.4718805,      1.1334607,      2.0020579,      2.6222918,      2.5422741,     18.0617514,     37.5599701,     46.6754614,      1.3674568,      1.1807276,     27.6534830,      1.6522984,      0.0039580,1200000.0000000
      1.6186360,      1.9285084,      2.9924071,      1.4367882,      1.9981568,      2.6031227,      1.0103233,      2.0018947,      2.5924632,      1.5655060,      5.4236050,     48.5190888,     13.2156284,      1.2281350,      0.2612676,      6.1899590,      9.6583192,      0.0035752,1200000.0000000
      1.8373523,      1.8847885,      2.9766215,      1.0232057,      1.9796408,      2.2889598,      1.0006909,      2.0072363,      2.4104691,      1.5298734,      4.3990333,     49.6505069,     29.0825934,      0.6851609,      0.0805374,      8.9754289,      0.7418804,      0.0039263,1200000.0000000
      2.4514207,      1.9805461,      2.9617358,      1.4801903,      1.9972772,      2.6945347,      1.0316588,      2.0190419,      2.5412715,      4.7268085,      3.6821211,     46.7145008,     46.5117265,      4.2127100,      0.6007226,      3.8121223,      2.5144730,      0.0038882,1200000.0000000
      1.7804371,      1.9920288,      2.9136826,      1.3680144,      1.9984136,      2.6223669,      1.0299687,      2.0518520,      2.0354939,      9.8532199,      0.8538880,     47.4497355,     49.3170347,      8.3719630,      0.5086384,      1.1233073,      2.1756924,      0.0037630,1200000.0000000
      1.2989326,      1.9531879,      2.9748227,      1.3082461,      1.9982613,      2.8695265,      1.0357235,      2.0103037,      2.8929698,      1.7668697,      6.3914367,     45.3009529,     22.1592600,      1.3013067,      0.7886839,      4.0845316,      3.0234503,      0.0039255,1200000.0000000
      1.9607154,      1.9530401,      2.9826529,      1.0697505,      1.9929369,      2.4554486,      1.0289812,      2.0057081,      2.5761161,      6.1313284,      5.3262973,     48.4910596,     43.2783083,      2.2872478,      0.0566511,      8.7442499,      7.8129291,      0.0039827,1200000.0000000
      1.5062927,      1.9992906,      2.9471695,      1.7843805,      1.9927240,      2.3881337,      1.0177026,      2.0155809,      2.8545437,      6.3799209,      5.3798729,     41.4515339,     43.9503313,      9.7434195,      0.2186044,      8.3467645,      0.1403236,      0.0036823,1200000.0000000
      1.7763609,      1.9977507,      2.9814927,      1.7907711,      1.9985052,      2.7241228,      1.1249462,      2.0207582,      2.6165550,     11.5764711,      6.9351530,     37.5189616,     43.0647502,     21.9906410,      0.5812531,      4.8871895,      6.1067347,      0.0041517,1200000.0000000
      1.5905547,      1.9661415,      2.9963093,      1.1150902,      1.9960361,      2.4851444,      1.0154362,      2.0231060,      2.6108788,      5.4583048,      2.4928152,     44.4444227,     48.3793198,      2.2904056,      0.5338465,      3.5014615,      0.3233853,      0.0038077,1200000.0000000
      2.3242317,      2.0025908,      2.9957359,      1.5508461,      1.9980846,      2.8271874,      1.0169358,      2.0641210,      2.7332038,     21.4956579,      3.5859431,     47.7323801,     18.4312270,     34.6338360,      0.1359695,      1.4478478,      1.0031380,      0.0041159,1200000.0000000
      1.5519418,      1.9842154,      2.9623823,      1.1867991,      1.9963070,      2.8983246,      1.0078666,      2.0096470,      2.9520670,     13.5076758,     11.1366604,     49.4872693,     40.6940500,      5.4645243,      0.4334549,      7.5188635,     10.3441804,      0.0040275,1200000.0000000
      1.4457997,      2.0006263,      2.9663478,      1.7937496,      1.9959441,      2.7651680,      1.0179036,      2.0209698,      2.6749343,      6.6660701,      7.0598817,     40.2574194,     41.3266982,     12.9529404,      0.6342310,      5.9750760,      1.2354982,      0.0037698,1200000.0000000
      1.0566972,      1.9805923,      2.9721949,      1.4031589,      1.9965586,      2.2212712,      1.0224536,      2.0230391,      2.4098557,      9.1515039,      2.0383813,     46.8119743,     43.9209237,      4.3043642,      0.6328898,      4.3660903,      1.7179691,      0.0042393,1200000.0000000
      1.0217099,      1.9493596,      2.9575882,      1.1268403,      2.0042791,      2.3963071,      1.0219449,      1.9889184,      2.8207779,      4.2035058,      8.6531859,     41.8368992,     47.7875618,      2.5888178,      0.1987105,     14.9870348,      0.0602145,      0.0039721,1200000.0000000
      1.9724020,      1.9817214,      2.9541474,      1.6520038,      2.0045148,      2.1376998,      1.1227203,      1.9977892,      2.5488608,      4.7380139,      9.7172537,     46.4699453,     34.5197303,      8.9432758,      2.2647709,     21.6803602,      0.0032346,      0.0040332,1200000.0000000
      2.2977308,      1.9852302,      2.9886936,      1.3496792,      1.9892048,      2.4853144,      1.0061365,      2.0189059,      2.7597758,      8.1095307,      3.7620372,     48.5069622,     46.1434665,      4.5900200,      0.0865600,      5.2567662,      1.5469199,      0.0038471,1200000.0000000
