x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,Costo,Times
      2.2080563,      1.7571223,      1.2134696,      1.6670741,      2.2077098,      2.9589797,      2.3054193,      2.3217729,      2.3910821,      1.1377861,      2.0079718,      0.4944269,      8.7611237,      6.6043162,     48.6133739,      6.7516621,     26.6445486,      0.0146377,1200000.0000000
      1.8312768,      2.1979050,      1.6863555,      1.2892151,      1.8824422,      2.9252770,      2.7327950,      1.5930284,      2.9217544,      0.1703975,      7.5618716,     36.4092090,      8.2384450,     15.2980044,      9.0996506,     15.1486519,     48.0884242,      0.0147689,1200000.0000000
      2.0209880,      1.9092719,      2.5442797,      1.3979605,      1.5265898,      1.3931619,      2.9816384,      2.2199000,      2.7822048,      0.1508919,     11.3338609,     26.8448964,     17.9027487,      8.1543351,     16.9614431,      7.9640738,     47.3925779,      0.0148210,1200000.0000000
      1.6564252,      1.6616706,      1.7656200,      1.4382945,      1.6250087,      1.1460589,      2.6597967,      2.0719334,      2.9966596,      0.1803626,      2.7800280,     30.3193021,      9.4722849,     14.6624445,      9.1436287,     14.5199481,     45.7897773,      0.0144013,1200000.0000000
      2.2681926,      1.5322685,      2.6149073,      1.2706147,      1.9127740,      2.2035677,      2.5773377,      2.1509241,      1.2096383,      0.1753946,     38.8248810,     20.1710277,     11.8839763,     11.0966280,     11.9506925,     10.9245483,     49.3103026,      0.0152318,1200000.0000000
      1.8476377,      2.0947592,      1.1953511,      1.4255784,      1.8327739,      2.7267382,      1.7604975,      2.0165782,      1.6642966,      2.3964427,      0.3833123,     12.3104537,      5.5546803,     31.4993902,     29.6626476,     31.5368743,      7.1169719,      0.0148891,1200000.0000000
      2.4296310,      1.7031849,      1.5692867,      1.3689972,      1.8242699,      1.0076957,      2.9033577,      1.9244129,      2.7120369,      0.0674712,     33.6629752,     26.5452584,     15.2417854,     15.6509863,      9.1019209,     15.5581523,     37.4935942,      0.0151995,1200000.0000000
      2.4825460,      2.4749695,      1.0929687,      2.6539513,      2.1151565,      1.0133772,      2.9555156,      1.8427310,      1.7082706,      0.9374644,      1.1719733,      0.1882229,      7.3081024,     10.9600957,     38.8599348,     11.0320752,     19.8826272,      0.0149790,1200000.0000000
      1.2451551,      1.7140140,      1.1147379,      2.3955493,      1.9512699,      1.0283634,      1.3143270,      1.5665468,      1.5650231,      2.2147141,      0.7157268,     13.8482885,      4.4210387,     46.9709107,     49.8830108,     47.0341850,     13.1260968,      0.0147169,1200000.0000000
      1.4106794,      2.1092029,      1.2465755,      2.7572770,      2.0762804,      1.4555150,      2.1906392,      1.5404827,      2.3238653,      2.1345126,      1.1481449,      6.1132719,      4.9158531,     14.0907500,     40.5490735,     14.1310521,     29.4298289,      0.0150041,1200000.0000000
      2.2814047,      1.6044792,      1.0810584,      1.3892926,      1.7993219,      1.9559498,      2.6610429,      2.4180558,      2.8995722,      0.0729389,      4.9461447,     30.6171136,      8.5970704,     21.6976346,     17.5133662,     21.6082246,     47.0741338,      0.0139957,1200000.0000000
      2.0271717,      2.1393412,      1.3090545,      2.4183460,      1.8634184,      2.5832507,      2.2593625,      1.9668137,      2.2006693,      0.6612972,      0.4106072,      7.5563674,      5.1245342,     39.2918931,     44.3944116,     39.3577521,      4.5804790,      0.0152337,1200000.0000000
      1.7873790,      2.0917950,      2.7995985,      1.1797687,      2.1117924,      1.2987035,      2.5701776,      2.0095456,      2.5473199,      0.4482317,     11.1006571,     25.4284699,      4.9886253,      1.8736526,      6.6447173,      1.4052278,     37.5679568,      0.0150232,1200000.0000000
      2.2435160,      1.7156795,      1.6933865,      1.4315359,      2.4025708,      2.6500105,      2.5429560,      1.9328664,      2.5005251,      0.0586325,     10.3948428,     40.0131992,     12.5039635,     25.0941245,     13.4135110,     25.0098486,     43.9346728,      0.0145968,1200000.0000000
      1.5821910,      2.3133035,      2.7812666,      1.1116209,      2.1570158,      1.8519170,      2.6240868,      2.3493777,      2.7731655,      0.1967927,     14.4951390,     25.7371058,      6.4649514,     12.9070731,     12.3988327,     12.7546773,     48.3114185,      0.0151842,1200000.0000000
      1.9120381,      2.2774841,      1.4976278,      1.3130322,      2.2408416,      2.7719277,      2.3654378,      1.5724790,      1.7433210,     30.6822186,      0.9719397,      8.9191630,      7.5914646,     11.1648509,     37.0464778,     11.2550000,      7.6758449,      0.0148277,1200000.0000000
      2.1374014,      2.3614993,      1.6023029,      1.0885184,      1.6341913,      1.1540694,      2.9572633,      1.7062727,      2.8794277,      0.1045104,      5.4754130,     30.8009147,      8.4283693,     29.8785811,     12.4507916,     29.7775268,     48.9981959,      0.0142785,1200000.0000000
      2.1968601,      1.9608176,      1.4683028,      1.3680902,      1.6833912,      1.3840348,      2.0407933,      2.4507778,      1.5505518,     14.9054670,      2.1690542,      2.5612238,      7.1073879,      6.6565524,     47.5443026,      6.8199933,     21.0078116,      0.0149054,1200000.0000000
      2.9926705,      2.1095826,      1.2915804,      1.7870681,      2.1720423,      2.6598321,      2.1863012,      2.3163753,      1.9676097,      9.1416037,      1.0364020,      1.3447869,      5.6654221,     16.5600739,     45.2387516,     16.6497351,     13.7039550,      0.0148355,1200000.0000000
      2.7254049,      2.3307864,      1.2611552,      1.9789709,      1.6792589,      1.4637339,      2.5593424,      1.8665923,      2.1633522,      9.9799980,      0.5327063,     24.5401536,      6.3699273,      9.8414247,     26.7553289,      9.8647891,     20.4344505,      0.0148141,1200000.0000000
      2.2936702,      1.9241450,      1.3717837,      1.1133930,      1.9687110,      2.7114891,      1.4306491,      1.7074743,      2.0698874,      1.1954909,      0.5023257,      1.9132393,     13.0903515,     27.5900700,     47.0697883,     27.6831040,      4.2747563,      0.0151380,1200000.0000000
      1.8735685,      2.3365400,      2.7395032,      1.0003575,      2.0027324,      2.3655710,      2.8369888,      1.6209190,      1.1183211,      0.0794461,     16.6219738,     30.9310776,      6.5613321,     33.2050624,     11.8225240,     33.1257052,     45.3764628,      0.0151054,1200000.0000000
      1.9044811,      2.3339065,      1.5922429,      1.2293061,      1.8539397,      1.8269393,      2.6568585,      2.4687343,      2.3027384,      0.0830992,     11.5566688,     39.1392504,     10.5443288,     22.0094504,     11.8261428,     21.9182296,     41.5957744,      0.0145476,1200000.0000000
      2.5930265,      2.3169251,      1.3874248,      1.8494348,      2.2100721,      2.5342153,      2.9624011,      2.1701202,      2.3823016,      4.5855681,      0.8675108,      2.2907508,     11.8128550,     10.7631019,     39.9676395,     10.8827091,      0.1359841,      0.0149642,1200000.0000000
      1.0868298,      2.2720791,      1.4912729,      1.6074162,      1.6803088,      1.4523614,      2.0111926,      2.2672591,      2.0785695,      3.6494203,      0.6967457,      6.2823759,      3.6517293,     42.1010922,     46.2370220,     42.1534079,     17.3776729,      0.0148173,1200000.0000000
      2.7642919,      1.5480428,      1.3030862,      2.6494052,      1.6756430,      1.3662627,      2.7229335,      1.5587075,      2.2576107,     13.7894732,      4.0178065,     17.9151905,      7.2063493,      4.8093402,     43.3676919,      5.0243119,     10.5635841,      0.0154361,1200000.0000000
      2.4802683,      1.8224571,      1.3389743,      2.4740357,      1.9052324,      1.1426892,      1.8391997,      1.7332583,      1.8636149,     36.7535167,      1.8344178,     48.5809914,      6.3968241,     18.0017529,     42.0731993,     18.0851359,      7.8883471,      0.0153087,1200000.0000000
      1.1032269,      2.3640692,      1.6174675,      1.3790418,      2.3502045,      1.5151406,      2.5015323,      2.2457654,      2.9929164,      0.1283684,      2.9358352,      8.1985047,      2.9823372,     23.6526562,     13.2311676,     23.5536684,     46.3580249,      0.0146470,1200000.0000000
      2.5482737,      2.1818708,      2.8970837,      2.1605782,      2.1007113,      1.1465162,      2.7194169,      1.6010394,      1.8667161,      0.9470250,      0.9629409,     34.6999888,      4.5370460,     22.9086769,     46.6182714,     22.9898521,     11.6992987,      0.0148238,1200000.0000000
      2.2230263,      1.6450573,      1.3966445,      2.9811900,      1.9881867,      2.7558371,      2.5006586,      1.8548108,      2.2767423,      2.2027946,      1.4479938,      2.4692540,     12.9934420,      1.6452344,     28.0089174,      1.8424967,     12.8998590,      0.0146437,1200000.0000000
